id;name;phone_number;date_of_birth
1;Assistant;Generic heuristic;2020-01-07
2;mint green payment Bedfordshire;Rustic Team-oriented firmware;2020-01-07
3;mission-critical auxiliary;functionalities;2020-01-07
4;Western Sahara;Malta scale deposit;2020-01-07
5;indexing Chile;Extended;2020-01-08
6;Pa'anga Directives Direct;Villages fuchsia Administrator;2020-01-08
7;Uzbekistan Sum;artificial intelligence;2020-01-07
8;Ergonomic California withdrawal;invoice secondary database;2020-01-08
9;Tennessee deposit transmit;Ford;2020-01-08
10;Small Credit Card Account Chicken;Personal Loan Account;2020-01-07
